name,full_name,short_name,image,height,weight,positions,date_of_birth,transfer_value,wage,preferred_foot,club_name,club_logo,club_kit_number,club_joined,club_contract_valid_until,country_flag,fc_profile_id,fc_club_id,total_apps,starting_apps,sub_apps,mins_played,motm,rating,red,yellow,goals,assists,shots_per_game,dribbles_per_game,fouled_per_game,offside_per_game,possession_lost_per_game,bad_touch_per_game,key_passes_per_game,passes_per_game,pass_accuracy,cross_per_game,long_pass_per_game,through_pass_per_game,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,own_goals
Jurriën Timber,Jurriën David Norman Timber,J. Timber,https://cdn.futbin.com/content/fifa24/img/players/251805.png,179,172,"CB,RB",2001-06-17,€33M,€80K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,12,2023-07-14,2028,https://cdn.sofifa.net/flags/nl.png,251805.0,1,1,1,0,50,0,6.58,0,1,0,0,0,0,0,1,0,0,0,45,88.9,0,0,0,1,0,2,1,0,0,0
Kai Havertz,Kai Lukas Havertz,K. Havertz,https://cdn.futbin.com/content/fifa24/img/players/235790.png,190,181,"CAM,RW,ST",1999-06-11,€46M,€110K,left,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,29,2023-06-28,2028,https://cdn.sofifa.net/flags/de.png,235790.0,1,12,8,4,716,0,6.53,0,4,1,1,1.1,0.1,1.1,0.2,0.7,1,0.8,23.5,83.3,0,0.3,0,1.3,0.4,1.2,0.3,0.3,0.1,0
Fábio Vieira,Fábio Daniel Ferreira Vieira,Fábio Vieira,https://cdn.futbin.com/content/fifa24/img/players/256958.png,176,134,"CAM,CM",2000-05-30,€16.5M,€76K,left,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,21,2022-07-01,2027,https://cdn.sofifa.net/flags/pt.png,256958.0,1,8,2,6,238,0,6.50,1,0,1,2,0.8,0.3,1.3,0.1,0.5,0.6,0.4,12.6,87.1,0.4,0.4,0.3,0.4,0.3,0.8,0.1,0,0,0
Emile Smith Rowe,Emile Smith Rowe,E. Smith Rowe,https://cdn.futbin.com/content/fifa24/img/players/240273.png,182,159,"LW,CAM",2000-07-28,€22.5M,€89K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,10,2017-07-31,2026,https://cdn.sofifa.net/flags/gb-eng.png,240273.0,1,4,1,3,106,0,6.44,0,0,0,1,0.8,0.5,0,0,0.8,0.3,0.3,13,78.8,0,0.3,0,0.3,0.3,0.8,0,0.3,0.3,0
Takehiro Tomiyasu,冨安 健洋,T. Tomiyasu,https://cdn.futbin.com/content/fifa24/img/players/232938.png,188,185,"RB,LB",1998-11-05,€20M,€73K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,18,2021-08-31,2026,https://cdn.sofifa.net/flags/jp.png,232938.0,1,10,3,7,417,0,6.36,1,0,1,0,0.7,0.3,0,0,0.1,0.3,0,27.2,84.9,0,0.5,0,0.4,0.6,0.3,1.2,0.3,0,0
Jakub Kiwior,Jakub Piotr Kiwior,J. Kiwior,https://cdn.futbin.com/content/fifa24/img/players/265693.png,189,165,"CB,CDM",2000-02-15,€8.5M,€56K,left,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,15,2023-01-24,2028,https://cdn.sofifa.net/flags/pl.png,265693.0,1,4,2,2,182,0,6.36,0,0,0,0,0.3,0,0,0,0,0.3,0,36.8,88.4,0,2.5,0,0.5,0,0.5,1.8,0,0.3,0
Mohamed Elneny,Mohamed Naser Elsayed Elneny,M. Elneny,https://cdn.futbin.com/content/fifa24/img/players/211454.png,179,159,"CDM,CM",1992-07-11,€4.7M,€71K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,25,2016-01-14,2024,https://cdn.sofifa.net/flags/eg.png,211454.0,1,1,0,1,1,0,6.34,0,0,0,0,0,0,0,0,0,0,0,11,90.9,0,0,0,0,1,0,0,0,0,0
Aaron Ramsdale,Aaron Ramsdale,A. Ramsdale,https://cdn.futbin.com/content/fifa24/img/players/233934.png,191,170,GK,1998-05-14,€43M,€105K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,1,2021-08-20,2026,https://cdn.sofifa.net/flags/gb-eng.png,233934.0,1,4,4,0,360,0,6.33,0,0,0,0,0,0,0,0,0,0,0,24,77.1,0,2.8,0,0,0,0,0.5,0,0,0
Jorginho,Luiz Frello Filho Jorge,Jorginho,https://cdn.futbin.com/content/fifa24/img/players/205498.png,178,150,"CDM,CM",1991-12-20,€25.5M,€125K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,20,2023-01-31,2024,https://cdn.sofifa.net/flags/it.png,205498.0,1,9,4,5,384,0,6.17,0,1,0,0,0.3,0.1,0.7,0,0.3,0.2,0.3,35,92.4,0.1,1.2,0,1.2,0.2,0.2,0.1,0.7,0.1,0
Reiss Nelson,Reiss Nelson,R. Nelson,https://cdn.futbin.com/content/fifa24/img/players/231448.png,175,157,"RW,LW",1999-12-10,€8.5M,€69K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,24,2016-12-23,2027,https://cdn.sofifa.net/flags/gb-eng.png,231448.0,1,5,0,5,61,0,6.15,0,0,0,0,0.2,0,0.2,0,0.2,0.6,0.4,4.8,91.7,0.4,0,0,0.4,0,0.4,0.4,0.2,0,0
Ollie Watkins,Ollie Watkins,O. Watkins,https://cdn.futbin.com/content/fifa24/img/players/221697.png,180,154,ST,1995-12-30,€24.5M,€95K,right,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,11,2020-09-09,2025,https://cdn.sofifa.net/flags/gb-eng.png,221697.0,2,12,12,0,1043,1,7.30,0,1,6,5,3,0.5,1,0.3,0.9,2.3,1.7,15.3,77.2,0,0.1,0.1,0.3,0,0.3,0.6,0.3,0.2,0
John McGinn,John McGinn,J. McGinn,https://cdn.futbin.com/content/fifa24/img/players/210881.png,178,150,"CM,RM,CDM",1994-10-18,€17.5M,€87K,left,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,7,2018-08-08,2027,https://cdn.sofifa.net/flags/gb-sct.png,210881.0,2,12,12,0,1020,1,7.16,0,2,3,2,1,1.9,1.9,0.1,0.8,1.3,1.3,29.7,81.7,0.9,2.2,0.4,0.9,0.6,1.3,0.2,1.3,0,0
Douglas Luiz,Douglas Luiz Soares de Paulo,Douglas Luiz,https://cdn.futbin.com/content/fifa24/img/players/236499.png,175,146,"CDM,CM",1998-05-09,€22M,€73K,right,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,6,2019-07-25,2026,https://cdn.sofifa.net/flags/br.png,236499.0,2,12,12,0,1028,2,7.16,0,4,5,1,1.7,0.7,1.3,0,0.5,1.3,1.2,61.8,88.4,0.7,3.9,0.2,2.3,0.4,1.2,0.8,0.8,0.4,0
Moussa Diaby,Moussa Diaby,M. Diaby,https://cdn.futbin.com/content/fifa24/img/players/241852.png,171,148,"RM,LM",1999-07-07,€60.5M,€105K,left,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,19,2023-07-22,2028,https://cdn.sofifa.net/flags/fr.png,241852.0,2,12,12,0,953,1,7.01,0,0,3,3,2.1,0.9,0.4,0.3,1.2,1.6,1.8,21,83.7,0.4,0.5,0.1,0.4,0.2,0.5,0.1,0.4,0,0
Jacob Ramsey,Jacob Ramsey,J. Ramsey,https://cdn.futbin.com/content/fifa24/img/players/246923.png,180,159,"LM,CM",2001-05-21,€21.5M,€66K,right,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,41,2017-07-01,2027,https://cdn.sofifa.net/flags/gb-eng.png,246923.0,2,2,0,2,49,0,6.98,0,0,1,0,1.5,0,0.5,0,1,1,0,7.5,86.7,0,0,0,2,0.5,0,0,1,0,0
Lucas Digne,Lucas Digne,L. Digne,https://cdn.futbin.com/content/fifa24/img/players/200458.png,178,163,LB,1993-07-20,€15.5M,€80K,left,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,12,2022-01-13,2026,https://cdn.sofifa.net/flags/fr.png,200458.0,2,12,12,0,1071,0,6.96,0,4,0,2,0.5,0.3,1.3,0.1,0.8,0.9,1.9,43,81.4,1.9,0.6,0,1.8,1.4,1.1,2,0.7,0,0
Matty Cash,Matty Cash,M. Cash,https://cdn.futbin.com/content/fifa24/img/players/227174.png,185,163,"RB,RWB",1997-08-07,€20M,€73K,right,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,2,2020-09-03,2027,https://cdn.sofifa.net/flags/pl.png,227174.0,2,12,12,0,1027,1,6.95,0,3,2,1,1.6,0.4,1,0,0.3,1,0.4,35.5,86.4,0.3,1,0,2.3,0.8,0.9,1.8,1.3,0.4,1
Boubacar Kamara,Boubacar Bernard Kamara,B. Kamara,https://cdn.futbin.com/content/fifa24/img/players/236987.png,184,150,"CDM,CM",1999-11-23,€29M,€69K,right,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,44,2022-07-01,2027,https://cdn.sofifa.net/flags/fr.png,236987.0,2,12,12,0,1017,0,6.77,0,4,0,0,0.3,0.6,1.7,0,0.4,0.8,1.2,52.7,90.3,0,2.3,0.1,2.3,0.8,1.8,0.8,1.3,0.3,0
Ezri Konsa,Ezri Konsa Ngoyo,E. Konsa,https://cdn.futbin.com/content/fifa24/img/players/227678.png,183,170,CB,1997-10-23,€20.5M,€73K,right,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,4,2019-07-11,2028,https://cdn.sofifa.net/flags/gb-eng.png,227678.0,2,12,12,0,1080,0,6.71,0,2,0,0,0.5,0.5,1.5,0,0.3,0.5,0.2,60.6,93.4,0,1.5,0.1,1.4,0.9,0.5,2.7,0.1,0.8,0
Leon Bailey,Leon Bailey Butler,L. Bailey,https://cdn.futbin.com/content/fifa24/img/players/229906.png,178,170,"RM,ST,RW",1997-08-09,€21M,€80K,left,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,31,2021-08-04,2025,https://cdn.sofifa.net/flags/jm.png,229906.0,2,10,2,8,344,1,6.70,0,1,3,3,1.1,1,0.4,0,0.7,0.7,0.9,14.2,74.6,0.5,0.9,0,0,0.5,0.6,0.1,0.2,0,0
Pau Torres,Pau Francisco Torres,Pau Torres,https://cdn.futbin.com/content/fifa24/img/players/241464.png,191,176,CB,1997-01-16,€42M,€100K,left,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,14,2023-07-12,2028,https://cdn.sofifa.net/flags/es.png,241464.0,2,12,11,1,1049,0,6.65,0,0,1,0,0.5,0.8,0.3,0.1,0.1,0.3,0.3,69.8,89.3,0.1,2.8,0,1,0.4,0.6,2.2,0.8,0.3,0
Emiliano Martínez,Damián Emiliano Martínez,E. Martínez,https://cdn.futbin.com/content/fifa24/img/players/202811.png,195,194,GK,1992-09-02,€36M,€100K,right,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,1,2020-09-16,2027,https://cdn.sofifa.net/flags/ar.png,202811.0,2,11,11,0,990,0,6.49,0,2,0,0,0,0,0.1,0,0,0,0,33.6,81.4,0,4.4,0,0,0,0.1,0.5,0,0,1
Jhon Durán,Jhon Jáder Durán Palacio,J. Durán,https://cdn.futbin.com/content/fifa24/img/players/247172.png,187,154,ST,2003-12-13,€1.9M,€11K,left,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,24,2023-01-23,2028,https://cdn.sofifa.net/flags/co.png,247172.0,2,6,0,6,68,0,6.47,0,2,2,0,0.8,0.2,0,0,0.5,0.7,0.2,4.8,72.4,0,0.2,0,0.3,0,1,0.2,0.5,0,0
Philippe Coutinho,Philippe Coutinho,Philippe Coutinho,,0,0,,,,,,Aston Villa,,,,,,,,2,0,2,24,0,6.41,0,0,0,0,1.5,2,0.5,0,0,1,0,12,83.3,0,0,0,0,0,0,0,0.5,0,0
Nicolò Zaniolo,Nicolò Zaniolo,N. Zaniolo,https://cdn.futbin.com/content/fifa24/img/players/238067.png,190,174,"RM,CF",1999-07-02,€30M,€43K,left,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,22,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/it.png,238067.0,2,9,6,3,427,0,6.29,0,2,0,0,1.9,1,1.2,0,2.2,1.9,0.7,10.9,74.5,0,0.1,0,0.6,0.1,1.4,0.6,0.6,0,0
Robin Olsen,Robin Patrick Olsen,R. Olsen,https://cdn.futbin.com/content/fifa24/img/players/207557.png,198,196,GK,1990-01-08,€1.8M,€47K,right,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,25,2022-07-01,2024,https://cdn.sofifa.net/flags/se.png,207557.0,2,1,1,0,90,0,6.28,0,0,0,0,0,0,0,0,0,0,0,36,75,0,7,0,0,0,0,0,0,0,0
Diego Carlos,Diego Carlos Santos Silva,Diego Carlos,https://cdn.futbin.com/content/fifa24/img/players/219693.png,186,174,CB,1993-03-15,€21M,€86K,right,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,3,2022-07-01,2026,https://cdn.sofifa.net/flags/br.png,219693.0,2,7,3,4,274,0,6.28,0,0,0,0,0.4,0.1,0,0.1,0,0,0,31.4,87.3,0,1.3,0,0.9,0.4,0.1,1.4,0.3,0.1,0
Youri Tielemans,Youri Tielemans,Y. Tielemans,https://cdn.futbin.com/content/fifa24/img/players/216393.png,176,159,"CM,CDM",1997-05-07,€37.5M,€100K,right,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,8,2023-07-01,2027,https://cdn.sofifa.net/flags/be.png,216393.0,2,12,1,11,281,0,6.27,0,0,0,1,0.3,0.2,0.7,0,0.5,0.1,0.3,17.3,85,0.1,0.8,0.1,0.4,0.3,0.3,0.1,0.3,0,0
Tyrone Mings,Tyrone Mings,T. Mings,https://cdn.futbin.com/content/fifa24/img/players/212419.png,196,170,CB,1993-03-13,€14.5M,€76K,left,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png,5,2019-07-08,2026,https://cdn.sofifa.net/flags/gb-eng.png,212419.0,2,1,1,0,31,0,6.08,0,0,0,0,1,0,0,0,0,1,1,5,100,0,1,1,0,1,0,1,0,0,0
Leander Dendoncker,Leander Dendoncker,Leander Dendoncker,,0,0,,,,,,Aston Villa,,,,,,,,4,0,4,7,0,5.99,0,0,0,0,0,0,0,0,0.3,0,0,3.5,78.6,0,0,0,0,0,0,0,0,0.5,0
Bertrand Traoré,Bertrand Traoré,Bertrand Traoré,,0,0,,,,,,Aston Villa,,,,,,,,2,0,2,10,0,5.98,0,0,0,0,0,0,0,0,0.5,0.5,0,1.5,66.7,0,0,0,0.5,0,0,0,0,0,0
Jaden Philogene,Jaden Philogene-Bidace,J. Philogene,https://cdn.futbin.com/content/fifa24/img/players/261336.png,179,148,"RW,LW,RM",2002-02-08,€3.1M,€7K,right,Hull City,https://cdn.sofifa.net/meta/team/22/60.png,23,2023-09-01,2027,https://cdn.sofifa.net/flags/gb-eng.png,261336.0,1952,1,0,1,3,0,5.91,0,0,0,0,0,0,0,0,0,0,0,4,75,0,0,0,0,0,0,0,0,0,0
Cameron Archer,Cameron Archer,C. Archer,https://cdn.futbin.com/content/fifa24/img/players/258930.png,176,159,ST,2001-12-09,€4.9M,€23K,right,Sheffield United,https://cdn.sofifa.net/meta/team/21/60.png,10,2023-08-27,2027,https://cdn.sofifa.net/flags/gb-eng.png,258930.0,1794,1,0,1,5,0,5.89,0,1,0,0,0,0,0,0,0,1,0,6,83.3,0,0,0,0,0,1,0,0,0,0
Neto,Norberto Murara Neto,Neto,https://cdn.futbin.com/content/fifa24/img/players/194404.png,190,185,GK,1989-07-19,€4.6M,€37K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,1,2022-08-07,2026,https://cdn.sofifa.net/flags/br.png,194404.0,1943,10,10,0,900,2,6.89,0,3,0,0,0,0.1,0,0,0,0,0,29.7,59.3,0,5.3,0,0,0.1,0.1,1.1,0,0,0
Dominic Solanke,Dominic Solanke,D. Solanke,https://cdn.futbin.com/content/fifa24/img/players/225539.png,187,176,ST,1997-09-14,€7.5M,€44K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,9,2019-01-04,2027,https://cdn.sofifa.net/flags/gb-eng.png,225539.0,1943,12,12,0,1070,1,6.79,0,1,6,1,2.8,0.9,0.9,0.4,2.8,3.9,1,13.8,80.1,0.3,0.2,0,0.4,0.2,1.1,1.3,0.1,0.1,0
Marcus Tavernier,Marcus Tavernier,M. Tavernier,https://cdn.futbin.com/content/fifa24/img/players/237477.png,177,154,"LM,RM,CAM",1999-03-22,€8M,€37K,left,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,16,2022-08-01,2027,https://cdn.sofifa.net/flags/gb-eng.png,237477.0,1943,9,8,1,625,0,6.76,0,0,0,1,1.1,2.4,0.8,0.1,1.6,1.4,0.9,21.1,80,0.4,0.6,0,2,0.2,0.6,0.4,0.6,0.1,0
Philip Billing,Philip Billing,P. Billing,https://cdn.futbin.com/content/fifa24/img/players/220714.png,197,176,"CM,CAM",1996-06-11,€12M,€47K,left,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,29,2019-07-29,2027,https://cdn.sofifa.net/flags/dk.png,220714.0,1943,11,11,0,936,0,6.71,0,2,1,1,1.6,0.5,0.9,0,1.1,1.7,1.1,27.6,80.6,0.3,1.1,0,2.5,1.2,1,1.9,1.1,0.5,0
Luis Sinisterra,Luis Fernando Sinisterra Lucumí,L. Sinisterra,https://cdn.futbin.com/content/fifa24/img/players/233500.png,172,132,"LM,RM,CAM",1999-06-17,€20M,€41K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,17,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/co.png,233500.0,1943,5,0,5,120,0,6.59,0,0,1,0,1.2,0.8,0.4,0,0,0.8,0.8,8.8,79.5,0,0.2,0,1.2,0.4,1.2,0,0.4,0,0
Antoine Semenyo,Antoine Semenyo,A. Semenyo,https://cdn.futbin.com/content/fifa24/img/players/241236.png,180,154,ST,2000-01-07,€3.6M,€23K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,24,2023-01-27,2027,https://cdn.sofifa.net/flags/gh.png,241236.0,1943,9,5,4,426,1,6.57,0,1,2,0,2,1.1,0.3,0,1.7,1.1,0.4,11.6,76,0.2,0,0,0.8,0.2,1.2,0.1,0,0,0
Lewis Cook,Lewis Cook,L. Cook,https://cdn.futbin.com/content/fifa24/img/players/224294.png,175,157,"CM,CDM",1997-02-03,€5M,€39K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,4,2016-07-08,2025,https://cdn.sofifa.net/flags/gb-eng.png,224294.0,1943,8,7,1,615,0,6.53,1,1,0,0,0.3,0.6,0.6,0,0.5,0.5,0.8,39.6,84.9,0.4,1,0,1.8,2.4,1.1,0.5,0.8,0.4,0
Ryan Christie,Ryan Christie,R. Christie,https://cdn.futbin.com/content/fifa24/img/players/213884.png,178,157,"RM,RW",1995-02-12,€4.2M,€41K,left,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,10,2021-08-31,2024,https://cdn.sofifa.net/flags/gb-sct.png,213884.0,1943,12,11,1,880,0,6.48,0,0,0,1,0.9,0.9,0.9,0.2,1.1,1.4,1.2,25.1,80.1,0.4,1.5,0,1.6,0.8,1.1,0.7,1.1,0.1,0
Alex Scott,Alex Scott,A. Scott,https://cdn.futbin.com/content/fifa24/img/players/261299.png,180,154,"CM,CAM",2003-08-21,€5.5M,€18K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,14,2023-08-10,2028,https://cdn.sofifa.net/flags/gb-eng.png,261299.0,1943,3,3,0,191,0,6.45,0,1,0,0,0.7,1.7,1.7,0,0,0.7,0.3,25.7,80.5,0.3,0.3,0,0.3,0.7,0.7,0.3,0.7,0.3,0
Max Aarons,Maximillian James Aarons,M. Aarons,https://cdn.futbin.com/content/fifa24/img/players/240060.png,171,152,RB,2000-01-04,€4.3M,€28K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,37,2023-08-10,2027,https://cdn.sofifa.net/flags/gb-eng.png,240060.0,1943,12,11,1,952,0,6.35,0,1,0,1,0.1,0.8,1.8,0.2,0.5,0.8,0.5,28.3,74.1,0.3,1.3,0.1,2,0.4,0.8,1.3,0.9,0.4,0
Illia Zabarnyi,Illia Zabarnyi,I. Zabarnyi,https://cdn.futbin.com/content/fifa24/img/players/258781.png,186,179,CB,2002-09-01,€6M,€23K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,27,2023-01-31,2028,https://cdn.sofifa.net/flags/ua.png,258781.0,1943,12,12,0,1080,0,6.32,0,2,0,0,0.2,0.6,0.6,0,0.1,0.5,0,52.3,84.4,0,2.3,0,1.3,1.1,0.6,3.5,0.8,1.1,0
